text,label
"I just woke up, made coffee, and I'm getting ready for work",1
"I went to the store and picked up some groceries after class",1
"I'm just hanging out at home watching TV and scrolling on my phone",1
"I finished my homework and now I'm just relaxing for the night",1
"I had lunch with a friend and we talked about random stuff",1
"I'm taking a walk outside because the weather is nice today",1
"I cleaned my room a bit and organized my desk",1
"I'm listening to music while cooking dinner",1
"I went to work and everything was pretty normal today",1
"I'm just waiting for the bus and checking messages",1
"I had a pretty regular day, nothing special happened",1
"I'm playing a game on my phone while I have some free time",1
"I went to school and then came straight home",1
"I'm just doing laundry and tidying up around the house",1
"I grabbed coffee this morning before starting my shift",1
"I'm chatting with a friend online about weekend plans",1
"I took a short drive and ran a couple errands",1
"I'm just sitting here thinking about what to cook for dinner",1
"I finished work and now I'm just unwinding",1
"I'm getting ready to go to sleep after a normal day",1

"I've been a little stressed about work deadlines lately",2
"I didn't sleep great last night so I'm feeling kind of off today",2
"I've got a lot to do this week and it's been on my mind",2
"I'm a bit worried about an upcoming meeting but I'll manage",2
"I feel slightly overwhelmed but I'm trying to stay on track",2
"I've been overthinking some small things lately",2
"I'm a little frustrated with how my day went",2
"I've been feeling kind of tired and behind on everything",2
"I have some anxiety about tomorrow but it's not too bad",2
"I'm just mildly annoyed at a situation at work",2
"I've been feeling a bit down but I'm still functioning fine",2
"I'm stressed about getting everything done on time",2
"I feel a little uneasy about some personal stuff",2
"I've been distracted all day and can't focus well",2
"I'm kind of worried about money this month",2
"I had a rough morning but I'm getting through it",2
"I'm feeling a bit pressured but it's manageable",2
"I've been slightly on edge for no clear reason",2
"I'm just not feeling 100% emotionally today",2
"I'm a little concerned about how things are going lately",2

"I've been feeling pretty negative about myself lately",3
"I'm kind of sad today, not sure why exactly",3
"I keep thinking I should be doing better in life",3
"I'm a bit lonely even though I'm around people",3
"I've been second guessing everything I do",3
"I'm feeling discouraged about school and work stuff",3
"I've been more irritable than usual lately",3
"I feel kind of stuck and not sure what I'm doing",3
"I'm a little upset about how a conversation went",3
"I've been feeling low energy and unmotivated",3
