text,label
"I am just sitting on my porch watching the birds",1.0
"I'm playing a game of soccer with my friends at the park",1.0
"I am boiling some water to make a cup of tea",1.0
"I'm walking my dog around the block",1.0
"I'm just heading to the grocery store to buy milk",1.0
"I am watching a movie on my couch right now",1.0
"I'm folding my laundry and listening to a podcast",1.0
"I just finished washing the dishes in the kitchen",1.0
"I'm typing up a report for my manager at work",1.0
"I am planted some flowers in my garden this morning",1.0
"I'm waiting for my friend to arrive for dinner",1.0
"I am reading a book about the history of architecture",1.0
"I'm just checking my email before I go to bed",1.0
"I am vacuuming the living room carpet",1.0
"I'm listening to the rain hit the window",1.0
"I am organizing my bookshelf by color",1.0
"I'm taking a nap because I have some free time",1.0
"I am drawing a picture in my sketchbook",1.0
"I'm looking for my keys because I misplaced them",1.0
"I am eating a sandwich for lunch",1.0
"I'm scrolling through social media on my phone",1.0
"I am watering my indoor plants",1.0
"I'm writing a grocery list for the weekend",1.0
"I am putting on my shoes to go for a jog",1.0
"I'm fixing a loose screw on the cabinet door",1.0
"I am charging my laptop battery",1.0
"I'm waiting in line at the post office",1.0
"I am browsing for new shoes online",1.0
"I'm sitting at a cafe drinking a latte",1.0
"I am watching the sunset from my balcony",1.0
"I'm talking to my mom on the phone about her cat",1.0
"I am cleaning the lint filter in the dryer",1.0
"I'm putting away the groceries I just bought",1.0
"I am setting the table for breakfast",1.0
"I'm looking at old photos in a photo album",1.0
"I am stretching after my morning workout",1.0
"I'm feeding the goldfish in the tank",1.0
"I am taking out the trash and recycling",1.0
"I'm trying to decide what to wear to the party",1.0
"I am listening to a new album that just came out",1.0
"I'm waiting for the bus at the corner stop",1.0
"I am playing a card game with my siblings",1.0
"I'm making a smoothie with bananas and spinach",1.0
"I am painting the guest room a light blue color",1.0
"I'm walking through the museum looking at art",1.0
"I am practicing my guitar scales",1.0
"I'm watching a documentary about deep sea creatures",1.0
"I am organizing the files on my desktop",1.0
"I'm looking at the stars through my window",1.0
"I am packing my bag for a trip tomorrow",1.0
"I'm sitting in the library studying for my test",1.0
"I am trying out a new recipe for pasta",1.0
"I'm walking along the beach looking for shells",1.0
"I am brushing my hair in front of the mirror",1.0
"I'm waiting for the oven to preheat",1.0
"I am filling out a crossword puzzle",1.0
"I'm browsing the aisles at the hardware store",1.0
"I am sitting in a park bench reading the news",1.0
"I'm taking a slow drive through the countryside",1.0
"I am rearranging the furniture in my bedroom",1.0
"I'm looking for a specific pen in my drawer",1.0
"I am chopping vegetables for a salad",1.0
"I'm watching the snow fall outside",1.0
"I am listening to the radio while I drive",1.0
"I'm waiting for my laundry to finish drying",1.0
"I am checking the weather forecast for tomorrow",1.0
"I'm sitting on the floor playing with my cat",1.0
"I am putting up some new curtains",1.0
"I'm walking to the library to return some books",1.0
"I am making a cup of coffee with my new machine",1.0
"I'm looking at the menu at a new restaurant",1.0
"I am doing some light yoga in my living room",1.0
"I'm waiting for my computer to restart",1.0
"I am cleaning the mirrors in the bathroom",1.0
"I'm sitting in the sun getting some vitamin D",1.0
"I am writing a thank you note to my aunt",1.0
"I'm looking for a movie to watch on Netflix",1.0
"I am putting my summer clothes into storage",1.0
"I'm walking through the park on a sunny day",1.0
"I am making a list of goals for the new year",1.0
"I'm sitting at my desk watching the clouds",1.0
"I am trying to learn how to knit a scarf",1.0
"I'm waiting for the toaster to pop up",1.0
"I am looking at the flowers in the florist shop",1.0
"I'm taking a deep breath and relaxing",1.0
"I am cleaning the crumbs off the kitchen counter",1.0
"I'm listening to a bird chirping outside",1.0
"I am checking the mail in my mailbox",1.0
"I'm sitting in the waiting room for my haircut",1.0
"I am putting a stamp on an envelope",1.0
"I'm looking at a map to plan my hike",1.0
"I am tying my shoelaces before I go out",1.0
"I'm watching the neighbor mow their lawn",1.0
"I am drinking a tall glass of cold water",1.0
"I'm sitting on the train looking out the window",1.0
"I am putting my keys on the hook by the door",1.0
"I'm looking for my sunglasses in my bag",1.0
"I am smelling the fresh air outside",1.0
"I'm just living my life day by day",1.0
"Everything is perfectly normal and quiet here",1.0
"Hey, the neighbors are playing music way too loud again",2.0
