text,label
my dog finally learned how to sit on command.,1.0
i really want to go to that new Italian place downtown.,1.0
the sunset looks like a painting tonight.,1.0
i think i am going to start learning how to knit.,1.0
the local library finally got that book i wanted.,1.0
i am planning on visiting my brother next month.,1.0
it feels so good to finally have a day off.,1.0
i found a five dollar bill in my old jacket pocket.,1.0
the garden is finally starting to sprout some green.,1.0
i really want to go see the new superhero movie.,1.0
my favorite song just came on the radio.,1.0
i am thinking about getting a new rug for the hall.,1.0
the grocery store was surprisingly empty today.,1.0
i really want to go for a long bike ride later.,1.0
my sister just sent me a funny video of her cat.,1.0
i am going to try a new workout routine tomorrow.,1.0
the morning air smells like rain and fresh dirt.,1.0
i really want to go to the beach this summer.,1.0
i just finished a very long puzzle of a castle.,1.0
my plants look so much healthier in this window.,1.0
i am going to bake some blueberry muffins now.,1.0
it is nice to just sit and do nothing for a bit.,1.0
i really want to go hiking in the mountains.,1.0
the coffee shop gave me a free cookie today.,1.0
i found a really cool shell at the park yesterday.,1.0
i am going to wear my red dress to the dinner.,1.0
the park was full of people flying kites today.,1.0
i really want to go to the museum this weekend.,1.0
my hair finally feels long enough to tie back.,1.0
i am going to paint the guest room a soft grey.,1.0
the ducks at the pond are so funny to watch.,1.0
i really want to go to a concert soon.,1.0
i just bought a very comfortable pair of sneakers.,1.0
my old car passed the inspection without any issues.,1.0
i am going to make a scrap book of our trip.,1.0
the neighbor has a new puppy that is very fluffy.,1.0
i really want to go camping when it gets warmer.,1.0
i just realized today is a holiday in some places.,1.0
my desk is finally organized and i feel better.,1.0
i am going to start a small herb garden.,1.0
the local bakery has the best sourdough bread.,1.0
i really want to go to the zoo with my niece.,1.0
i found a great deal on a new winter coat.,1.0
my phone battery lasted all day for once.,1.0
i am going to learn how to make homemade pasta.,1.0
the stars are very bright away from the city.,1.0
i really want to go to the farmer's market.,1.0
i just finished watching a very interesting show.,1.0
my favorite team won their game last night.,1.0
i am going to take a nap before the party.,1.0
the train arrived exactly on time today.,1.0
i really want to go for a swim in the lake.,1.0
i just found my favorite pen under the couch.,1.0
my neighbors invited us over for a barbecue.,1.0
i am going to plant some sunflowers by the fence.,1.0
the local pool is finally open for the season.,1.0
i really want to go to the flea market.,1.0
i just made a very tasty fruit salad.,1.0
my brother is coming over to help me move the sofa.,1.0
i am going to start a new journal tonight.,1.0
the street performers were really talented today.,1.0
i really want to go to the botanical gardens.,1.0
i just found a recipe for easy lemon cake.,1.0
my new glasses finally arrived in the mail.,1.0
i am going to go for a walk in the woods.,1.0
the squirrels are hiding nuts in my flower pots.,1.0
i really want to go to the aquarium.,1.0
i just bought a very pretty blue vase.,1.0
my morning commute was very peaceful today.,1.0
i am going to try a new hobby this year.,1.0
the ice cream truck is driving through the street.,1.0
i really want to go to the planetarium.,1.0
i just finished a great cup of green tea.,1.0
my new shoes are finally broken in.,1.0
i am going to listen to a podcast while i clean.,1.0
the birds are building a nest in the eaves.,1.0
i really want to go to a baseball game.,1.0
i just saw a very colorful rainbow.,1.0
my bedroom feels so much fresher with the windows open.,1.0
i am going to learn a few words in french.,1.0
the bookstore is having a big sale today.,1.0
i really want to go to the vintage car show.,1.0
i just found a very old coin in the garden.,1.0
my dog is sleeping at my feet right now.,1.0
i am going to try to wake up earlier tomorrow.,1.0
the local choir is practicing in the hall.,1.0
i really want to go on a road trip.,1.0
i just put some fresh sheets on the bed.,1.0
my neighbor made me some delicious soup.,1.0
i am going to watch the clouds for a while.,1.0
the museum is free to enter today.,1.0
i really want to go to the craft fair.,1.0
i just finished reading a very funny comic.,1.0
my favorite tree is finally starting to bloom.,1.0
i am going to try a new type of cheese.,1.0
the sound of the fountain is very relaxing.,1.0
i really want to go to the science center.,1.0
i just got a very nice compliment from a stranger.,1.0
i am going to sit in the sun for ten minutes.,1.0
my old watch is working again after a new battery.,1.0
